Which year are you in?,How are you feeling right now?,"On a scale of 1-100, how would you express this feeling?",Gender,Age,Your location ?,Relationship status,Are you happy with your financial state?,How much have you succeeded to cope up with the environment of your educational institution?,Understanding with your family members?,Are you feeling pressure in your study or work right now?,Are you satisfied with your academic result?,Are you happy with your living place?,Who supports you when you are not succeeding in your academic life?,Have you used any social media within the last 6 hours?,Do you have inferiority complex? ,Are you satisfied with your meal today?,Are you feeling sick/health issues today?,"Have you done any recreational activity (sports, gaming, hobby etc.) today?",How long did you sleep last night?(in hours)
4th year,Bad,20,Male,22,Home,Single,Yes,3,Good,Yes,No,Yes,Friends,Yes,Maybe,Yes,Yes,No,6
4th year,Normal,50,Male,22,Home,Single,Yes,3,Good,No,No,Yes,Friends,Yes,Maybe,Yes,No,No,8
4th year,Normal,50,Male,22,Home,Single,Yes,3,Good,No,No,Yes,Friends,Yes,Maybe,Yes,No,Yes,8
4th year,Normal,50,Male,22,Home,Single,Yes,3,Good,No,No,Yes,Friends,Yes,Maybe,Yes,No,No,8
4th year,Normal,50,Male,22,Home,Single,Yes,3,Good,No,No,Yes,Family,Yes,Maybe,Yes,Yes,No,7
4th year,Normal,60,Male,22,Home,Single,Yes,3,Good,No,No,Yes,Family,Yes,Maybe,Yes,Yes,No,7
4th year,Good,70,Male,22,Home,Single,Yes,3,Good,No,No,Yes,Family,Yes,Maybe,Yes,No,No,7
4th year,Normal,50,Male,22,Home,Single,Yes,3,Good,Yes,No,Yes,Family,Yes,Maybe,Yes,No,No,8
4th year,Good,70,Male,22,Home,Single,Yes,3,Good,No,No,Yes,Teacher,Yes,Maybe,No,No,No,8
4th year,Normal,50,Male,22,Home,Single,Yes,3,Good,No,No,Yes,Friends,Yes,Maybe,Yes,No,Yes,8
4th year,Bad,30,Male,22,Home,Single,Yes,3,Good,Yes,No,Yes,Friends,Yes,Maybe,Yes,No,No,8
4th year,Normal,50,Male,22,Home,Single,Yes,3,Good,Yes,No,Yes,Family,No,Maybe,No,No,No,8
4th year,Bad,30,Male,22,Home,Single,Yes,3,Good,Yes,No,Yes,Teacher,Yes,Maybe,Yes,No,No,8
4th year,Good,70,Male,22,Home,Single,Yes,3,Good,No,No,Yes,Friends,Yes,Maybe,No,No,No,9
